BusinessDate,CompanyCode,SiteCode,GrossAmount
01-03-2024,C305,L1010,45958
02-03-2024,C305,L1010,49786
03-03-2024,C305,L1010,38873.5
04-03-2024,C305,L1010,31757.5
05-03-2024,C305,L1010,31974
06-03-2024,C305,L1010,36010
07-03-2024,C305,L1010,38316.51
08-03-2024,C305,L1010,46316.5
09-03-2024,C305,L1010,49520.5
10-03-2024,C305,L1010,36493.75
11-03-2024,C305,L1010,31831.75
12-03-2024,C305,L1010,31229.5
13-03-2024,C305,L1010,35787.5
14-03-2024,C305,L1010,41861.5
15-03-2024,C305,L1010,45789.5
16-03-2024,C305,L1010,48140
17-03-2024,C305,L1010,41074.25
18-03-2024,C305,L1010,33697
19-03-2024,C305,L1010,30473
20-03-2024,C305,L1010,35818.5
21-03-2024,C305,L1010,39618.5
22-03-2024,C305,L1010,43868.75
23-03-2024,C305,L1010,48942.5
24-03-2024,C305,L1010,37439
25-03-2024,C305,L1010,33893.75
26-03-2024,C305,L1010,34122
27-03-2024,C305,L1010,37895
28-03-2024,C305,L1010,40937.5
29-03-2024,C305,L1010,46315.5
30-03-2024,C305,L1010,45407.5
31-03-2024,C305,L1010,38184
01-04-2024,C305,L1010,40339
02-04-2024,C305,L1010,27707.5
03-04-2024,C305,L1010,33762
04-04-2024,C305,L1010,33024.5
05-04-2024,C305,L1010,40446.5
06-04-2024,C305,L1010,52922
07-04-2024,C305,L1010,38778.25
08-04-2024,C305,L1010,29361
09-04-2024,C305,L1010,32857.5
10-04-2024,C305,L1010,36965.25
11-04-2024,C305,L1010,41123.5
12-04-2024,C305,L1010,50141
13-04-2024,C305,L1010,51237.5
14-04-2024,C305,L1010,37183
15-04-2024,C305,L1010,25257.5
16-04-2024,C305,L1010,33548.25
17-04-2024,C305,L1010,34415
18-04-2024,C305,L1010,37491.75
19-04-2024,C305,L1010,46626.5
20-04-2024,C305,L1010,51898.5
21-04-2024,C305,L1010,38290.25
22-04-2024,C305,L1010,36319.5
23-04-2024,C305,L1010,31357.25
24-04-2024,C305,L1010,39637.5
25-04-2024,C305,L1010,43234.5
26-04-2024,C305,L1010,50321.5
27-04-2024,C305,L1010,52379.75
28-04-2024,C305,L1010,38085.02
29-04-2024,C305,L1010,35341.5
30-04-2024,C305,L1010,27428.5
01-05-2024,C305,L1010,37561.5
02-05-2024,C305,L1010,37542.25
03-05-2024,C305,L1010,42064
04-05-2024,C305,L1010,50286.5
05-05-2024,C305,L1010,41362
06-05-2024,C305,L1010,39532
07-05-2024,C305,L1010,28175.75
08-05-2024,C305,L1010,38153.75
09-05-2024,C305,L1010,42094.75
10-05-2024,C305,L1010,45206.75
11-05-2024,C305,L1010,51912.25
12-05-2024,C305,L1010,38922.25
13-05-2024,C305,L1010,34407.25
14-05-2024,C305,L1010,33245
15-05-2024,C305,L1010,37104.75
16-05-2024,C305,L1010,39503.5
17-05-2024,C305,L1010,47121.25
18-05-2024,C305,L1010,51954.5
19-05-2024,C305,L1010,38881.75
20-05-2024,C305,L1010,30664.5
21-05-2024,C305,L1010,31120.5
22-05-2024,C305,L1010,35875.5
23-05-2024,C305,L1010,42706.5
24-05-2024,C305,L1010,43906.2
25-05-2024,C305,L1010,49526
26-05-2024,C305,L1010,39664
27-05-2024,C305,L1010,42977
28-05-2024,C305,L1010,30904
29-05-2024,C305,L1010,38318.75
30-05-2024,C305,L1010,37487.5
31-05-2024,C305,L1010,50138.96
01-06-2024,C305,L1010,50689.5
02-06-2024,C305,L1010,39861
03-06-2024,C305,L1010,29571.5
04-06-2024,C305,L1010,31823.5
05-06-2024,C305,L1010,35717.75
06-06-2024,C305,L1010,38151.5
