BusinessDate,CompanyCode,SiteCode,GrossAmount,temp,humidity,precip,snow,holiday,weekend
2023-01-10,C1061,L1098,3972.5,9.3,87.0,7.198,0.0,0,0
2023-01-11,C1061,L1098,6309.5,9.2,78.6,1.417,0.0,0,0
2023-01-12,C1061,L1098,8223.0,11.2,81.3,6.601,0.0,0,0
2023-01-13,C1061,L1098,8417.5,8.6,69.5,0.0,0.0,0,0
2023-01-14,C1061,L1098,13847.0,9.4,81.4,9.612,0.0,0,1
2023-01-15,C1061,L1098,5693.5,5.7,74.5,0.199,0.0,0,1
2023-01-17,C1061,L1098,4704.5,-0.9,86.9,0.0,0.0,0,0
2023-01-18,C1061,L1098,8109.0,1.2,83.2,0.0,1.0,0,0
2023-01-19,C1061,L1098,9120.5,1.3,84.0,0.0,0.0,0,0
2023-01-20,C1061,L1098,9570.0,3.2,78.2,0.0,0.0,0,0
2023-01-21,C1061,L1098,12588.5,2.8,80.3,0.0,0.0,0,1
2023-01-22,C1061,L1098,5534.0,0.2,89.2,0.0,1.0,0,1
2023-01-24,C1061,L1098,4817.5,3.9,78.3,0.0,0.0,0,0
2023-01-25,C1061,L1098,6496.5,2.0,95.0,2.003,0.0,0,0
2023-01-26,C1061,L1098,8015.5,5.8,84.0,1.199,0.0,0,0
2023-01-27,C1061,L1098,11958.0,5.6,77.2,0.0,0.0,0,0
2023-01-28,C1061,L1098,11842.0,5.4,67.9,0.0,0.0,0,1
2023-01-29,C1061,L1098,6176.99,6.4,85.5,0.0,0.0,0,1
2023-01-31,C1061,L1098,6005.5,7.8,73.7,0.0,0.0,0,0
2023-02-01,C1061,L1098,6181.0,7.6,73.4,0.0,0.0,0,0
2023-02-02,C1061,L1098,9992.0,8.8,80.0,0.0,0.0,0,0
2023-02-03,C1061,L1098,9722.0,9.8,81.7,0.0,0.0,0,0
2023-02-04,C1061,L1098,12451.5,8.1,83.8,0.0,0.0,0,1
2023-02-05,C1061,L1098,6179.5,5.0,77.5,0.0,0.0,0,1
2023-02-07,C1061,L1098,10410.5,1.9,85.9,0.077,0.0,0,0
2023-02-08,C1061,L1098,7434.5,1.3,81.1,0.022,0.0,0,0
2023-02-09,C1061,L1098,8868.0,3.6,83.0,0.11,0.0,0,0
2023-02-10,C1061,L1098,8697.0,3.9,82.1,0.022,0.0,0,0
2023-02-11,C1061,L1098,11957.0,8.3,81.8,0.0,0.0,0,1
