BusinessDate,NetAmount_summary
01-02-2023,22339.5249
01-03-2023,53729.8827
01-04-2023,77534.9106
01-06-2023,27980.742599999998
01-07-2023,116239.3683
01-08-2023,36526.2349
01-09-2023,15934.9531
01-10-2023,19685.8317
01-11-2023,11699.1608
02-02-2023,30905.3954
02-03-2023,48303.9654
02-04-2023,4427.4978
02-05-2023,8327.9152
02-06-2023,41648.388100000004
02-07-2023,22182.7732
02-08-2023,5683.3313
02-09-2023,45525.7412
02-11-2023,12590.4168
03-01-2023,20900.2352
03-02-2023,154859.7148
03-03-2023,46178.0606
03-05-2023,30164.4129
03-06-2023,47240.5345
03-08-2023,31023.2051
03-09-2023,18756.9135
03-10-2023,39531.5794
03-11-2023,41749.569
04-01-2023,12256.4088
04-02-2023,89218.594
04-03-2023,94460.2938
04-04-2023,27010.9516
04-05-2023,12944.9093
04-06-2023,14341.3198
04-07-2023,45424.8623
04-08-2023,34698.1133
04-10-2023,20779.9962
04-11-2023,53452.8897
05-01-2023,36563.6515
05-02-2023,4027.4969
05-03-2023,893.416
05-04-2023,9561.563699999999
05-05-2023,80228.0191
05-07-2023,49646.0475
05-08-2023,21416.1568
05-09-2023,23251.0384
05-10-2023,35892.0762
05-11-2023,11462.9162
06-01-2023,44236.2712
06-04-2023,29538.7675
06-05-2023,25133.7573
06-06-2023,12465.203000000001
06-07-2023,35806.0294
06-08-2023,24428.1576
06-09-2023,40464.3215
06-10-2023,34643.0355
06-11-2023,5358.5409
07-01-2023,32528.7324
07-02-2023,31544.7091
07-03-2023,9681.5427
07-04-2023,75455.3276
07-05-2023,10499.3683
07-06-2023,20738.3613
07-07-2023,64914.9739
07-09-2023,8504.5841
07-10-2023,51492.2779
07-11-2023,11967.5
08-01-2023,1600.4128
08-02-2023,86554.87210000001
08-03-2023,13527.41
08-04-2023,47152.6679
08-06-2023,30897.5013
08-07-2023,170442.814
08-08-2023,6824.9935000000005
08-09-2023,32996.6556
08-10-2023,24771.2855
08-11-2023,12644.5768
