BusinessDate,NetAmount_summary
28-04-2023,131.2084
20-07-2023,117.9166
16-06-2023,126.2501
15-10-2023,84.5833
18-07-2023,253.7499
25-02-2023,57.2082
26-11-2023,83.3333
11-01-2023,109.2082
14-10-2023,44.5833
28-06-2023,143.125
28-04-2023,175.4167
12-02-2023,104.6083
02-03-2023,694.4167
12-02-2023,28.9583
12-05-2023,115.4167
24-03-2023,125.7915
07-10-2023,111.6668
12-05-2023,258.2499
19-11-2023,66.6667
16-06-2023,55.0001
13-01-2023,33.8749
04-06-2023,119.3749
04-11-2023,188.3332
07-07-2023,315.8332
10-02-2023,336.0833
16-10-2023,181.6666
20-05-2023,13.75
10-11-2023,201.2502
28-06-2023,213.3335
02-05-2023,301.25
09-09-2023,146.2499
22-08-2023,218.7502
05-01-2023,426.2916
11-07-2023,60.4166
13-06-2023,110.4166
18-08-2023,151.8333
06-05-2023,244.5833
05-07-2023,26.6667
21-01-2023,243.1499
24-11-2023,447.2914
14-09-2023,139.5833
11-03-2023,0.0
08-06-2023,58.7083
08-06-2023,402.4169
10-03-2023,147.8001
13-05-2023,194.9999
08-11-2023,275.0
10-02-2023,113.3332
07-09-2023,70.4167
18-11-2023,38.5416
31-05-2023,329.5414
03-02-2023,254.4833
23-05-2023,225.3748
25-01-2023,158.1499
16-09-2023,60.0
01-03-2023,349.0832
23-09-2023,960.3332
29-07-2023,117.5
23-02-2023,401.625
13-01-2023,357.2335
17-08-2023,189.8333
08-09-2023,110.8333
04-02-2023,331.9668
22-07-2023,610.4162
21-04-2023,221.5832
27-09-2023,121.6666
03-02-2023,94.2334
28-01-2023,128.4834
02-09-2023,213.5416
05-08-2023,112.0832
24-05-2023,670.9582
11-11-2023,23.3333
21-01-2023,52.2082
18-02-2023,104.9583
17-01-2023,88.1249
29-09-2023,26.2499
03-10-2023,170.0
06-11-2023,57.0833
30-06-2023,348.7496
11-02-2023,99.1666
01-03-2023,237.0416
10-02-2023,133.3332
26-05-2023,268.2916
04-08-2023,121.0416
01-04-2023,703.6663
18-06-2023,0.0
08-03-2023,134.9998
25-11-2023,44.1666
24-11-2023,29.5833
08-04-2023,149.6667
10-06-2023,5416.6638
05-05-2023,282.8749
17-11-2023,287.9166
03-05-2023,177.9167
18-05-2023,32.9166
10-11-2023,186.2497
22-04-2023,0.0
10-02-2023,336.0833
09-07-2023,19.9999
14-01-2023,85.1665
21-01-2023,126.25
23-08-2023,123.9582
17-08-2023,189.8333
02-09-2023,182.0832
27-05-2023,268.3333
17-03-2023,244.125
25-05-2023,111.2084
07-07-2023,48.75
21-10-2023,1851.4575
08-09-2023,245.8334
29-07-2023,160.4167
07-07-2023,165.8334
25-06-2023,31.6666
24-02-2023,204.1249
04-06-2023,0.0
29-09-2023,32.0832
20-04-2023,281.5834
14-01-2023,212.9167
22-09-2023,194.1667
03-02-2023,703.4667
11-03-2023,114.9583
22-06-2023,81.2499
14-07-2023,61.6666
07-07-2023,165.8334
22-07-2023,102.9167
03-02-2023,488.3
16-02-2023,242.875
09-04-2023,115.8333
13-01-2023,141.0414
04-01-2023,123.3749
22-07-2023,212.5833
24-08-2023,59.1666
18-07-2023,215.4165
27-01-2023,97.7499
04-03-2023,84.0417
20-04-2023,212.4998
04-03-2023,82.8332
04-11-2023,112.4999
15-03-2023,378.6668
01-04-2023,0.0
09-09-2023,28.3333
25-10-2023,113.5415
13-08-2023,50.8334
10-11-2023,69.7915
31-08-2023,105.4167
25-11-2023,123.7501
27-05-2023,498.2916
08-10-2023,53.9583
03-10-2023,816.2498
03-05-2023,147.9168
22-04-2023,191.2083
18-03-2023,132.4999
18-08-2023,197.4999
16-09-2023,139.5833
14-07-2023,216.6666
03-02-2023,104.1666
03-05-2023,140.7915
18-04-2023,298.2916
18-03-2023,182.4583
10-03-2023,86.6249
18-01-2023,92.3332
02-03-2023,694.4167
07-11-2023,69.1666
16-03-2023,260.9665
04-01-2023,129.7916
13-09-2023,33.7499
24-02-2023,110.8333
05-07-2023,148.7498
05-08-2023,83.3332
08-09-2023,17.7083
13-01-2023,112.0834
21-04-2023,79.1666
09-09-2023,70.0
08-07-2023,84.5833
21-04-2023,91.6667
21-01-2023,49.1917
19-05-2023,43.3334
10-08-2023,381.25
17-03-2023,104.9334
07-03-2023,289.1252
15-04-2023,52.9166
09-03-2023,78.3334
11-02-2023,200.0001
17-03-2023,126.0
26-11-2023,205.4167
03-11-2023,82.9167
11-08-2023,70.4166
06-04-2023,142.0832
19-09-2023,160.8332
18-03-2023,156.25
18-03-2023,357.4167
18-02-2023,143.2915
17-03-2023,497.8333
29-09-2023,184.1666
20-07-2023,0.0
10-03-2023,190.7916
28-01-2023,207.7332
07-01-2023,132.9581
02-02-2023,217.2416
08-07-2023,242.0832
07-11-2023,0.0
21-01-2023,298.9667
25-07-2023,46.25
15-09-2023,168.3331
23-08-2023,149.1666
20-11-2023,67.7082
09-09-2023,131.2499
22-10-2023,61.2499
08-07-2023,117.0832
07-04-2023,92.0833
08-10-2023,254.8335
21-04-2023,221.5832
22-04-2023,189.9581
22-06-2023,40.4166
15-09-2023,1086.5582
04-04-2023,27.5
25-08-2023,120.8333
24-06-2023,346.6666
30-03-2023,569.0833
20-04-2023,269.1249
19-08-2023,158.0
28-04-2023,20.4167
14-03-2023,32.1667
27-04-2023,250.7915
03-06-2023,122.4583
25-08-2023,179.1666
01-04-2023,152.4166
24-10-2023,202.5001
27-01-2023,90.9
13-07-2023,51.6667
29-07-2023,64.1666
03-03-2023,162.0416
30-05-2023,44.9583
04-02-2023,218.6168
31-08-2023,35.4167
29-04-2023,51.6249
23-05-2023,62.4583
11-11-2023,152.5
01-03-2023,192.4583
03-08-2023,108.3333
01-04-2023,27.0833
26-07-2023,413.75
18-03-2023,61.4583
02-02-2023,183.5666
17-02-2023,350.7916
05-05-2023,234.1249
08-07-2023,112.5
27-01-2023,121.4832
14-01-2023,71.0833
25-06-2023,65.0
19-05-2023,169.9165
14-05-2023,160.3001
25-05-2023,133.0833
04-01-2023,108.5416
04-07-2023,10.0
28-01-2023,105.2499
29-08-2023,175.0
25-08-2023,230.0832
04-03-2023,149.9582
25-02-2023,82.2916
03-02-2023,69.9583
23-09-2023,47.5001
23-06-2023,93.7499
15-06-2023,180.7916
09-06-2023,360.4166
02-09-2023,135.8335
19-07-2023,135.0001
28-01-2023,207.7332
25-04-2023,187.5
20-08-2023,453.7498
05-07-2023,75.8335
11-07-2023,250.8332
09-11-2023,50.625
03-01-2023,87.7499
04-08-2023,182.0834
22-09-2023,195.4166
24-06-2023,111.6667
